baseball,討論 宋 88 有 機會 嗎
tech_job,新聞 面板 復甦 雙虎 加薪
baseball,巨人  v  廣島 横川凱ア ドゥワ誠
boy-girl,討論 請問 男生 會 喜歡 收到 爆炸 禮物盒 嗎
hatepolitics,討論 美國 只是 想 誘騙 台灣 交出 台積電
tech_job,請益 同 年紀 同 單位 不同 職等
pc_shopping,開箱  reeven  hans 開箱 測試
baseball,新聞 日職 佐佐木朗希 談 約 陷 僵局 想 挑戰 大
stock,新聞 中華電 攜手 宏達電  vr 遠端 談成 5 g 策略
military,分享  美 海陸 復仇 女神 車載 nsm
baseball,新聞  成晉 技術 調整到 70  經典賽 角色 底定
c_chat,閒聊  ubi 確定 爛 過 ea 了 嗎
c_chat,蔚藍 哇幹   u 美 背
boy-girl,討論 時間 能 倒轉
pc_shopping,菜單  20 k  電腦 菜單 請益
hatepolitics,新聞 民眾 黨 代表 票數 校正 回歸 她 喊話 徹查
stock,心得 何謂 停利
c_chat,討論 台灣 黃遊 產業 有 多 強
c_chat,鳴潮 日本 玩家 是 不 是 原諒 庫洛 了
tech_job,徵才 新加坡 蝦皮 招募 電腦 軟體 工程師
stock,標的 和 益 1709 多
baseball,討論 各 隊 感謝祭 都 做 些 什麼
c_chat,情報  壽屋  arcanadea  動畫 預告 視覺圖 公開
hatepolitics,討論 演唱會 沒有 阿北 8800 都 算 便宜
c_chat,24 夏 新人 大叔 冒險 者 算是 本 季 黑馬 嗎
stock,標的 群創 技術面 多
hatepolitics,黑特 天 啊 藍白 共網軍 太 下賤 太下幹 了 吧
stock,請益 為何 俄羅斯 股市 沒有 熔斷 機制
lifeismoney,情報 街口 指定 電商 消費 送 星巴克 美式
c_chat,絕區  あられや こんこん   弌 誠 music  video
baseball,炸裂  岡 大海
stock,請益 想想 真是 做對 了
c_chat,實況 惡靈 古堡 4 好 首頁
c_chat,今泉 太太 一起 來 玩 嘛
c_chat,原神 大 世界 探索 都 自己 找 看 影片
tech_job,請益 台灣 基恩斯 面試
pc_shopping,菜單  40 k 影音 遊戲機
pc_shopping,請益 電腦椅 推薦
tech_job,新聞 傳  amd 將 成為 三星  3  奈米 首位 客戶 市場
c_chat,閒聊 魔法 少女 小圓 第10 話  aniplex 頻道 直播
lifeismoney,情報  1014 屈臣氏 一 日 樂翻天
baseball,炸裂 林子偉
baseball,分享 今日 logan
pc_shopping,菜單 實況 模擬器 雙開 lol 35 k   40 k
military,情報 進香團 宣稱 佔領 了 庫爾斯克州 喬特基諾
c_chat,蔚藍 遊戲 開發部 廢 部
boy-girl,討論 想 請教 這 種 條件 人 多 嗎
baseball,分享 鍵盤 球探 王念好 訪談
hatepolitics,討論 年羹堯 會不會 變成 搜尋 大 熱門
lifeismoney,情報  ponta 點數 轉換成 line  points
boy-girl,分享 終於 結束 了
c_chat,閒聊  賀  2026 邦邦 10 週年 大拜拜
hatepolitics,討論 說 國民黨 終於 硬起來 了 是 搞 不 清楚 狀況 吧
hatepolitics,舊聞 柯文哲 政治 不 困難 找回 良心 而已
stock,新聞 杏國 胰臟癌 藥 將 解 盲 生醫股 淡定 對
military,情報 烏俄 戰爭 isw 戰報 20240501
stock,其他  109年 01月 31日 三 大 法人 買賣 金額 統計表
boy-girl,求助 她 太 黏 我 太 冷
c_chat,vtub  1230 絆 愛  1 st  live 特別 公開
hatepolitics,討論 台積電 總共 投資 美國 1650億 美金 耶
stock,心得 國際 企業 台股 供應鏈
baseball,問題 可以 找 戰犯 了 吧 誰 是 戰犯 有 人 知道 嗎
c_chat,蔚藍 國際 服收 最多 巧克力 學生
tech_job,請益 矽品 研發 替代役
stock,請益 非農 是 不 是 在 騙人
c_chat,討論 羅傑 算是 運氣 點 滿 男人 嗎
lifeismoney,省錢 郵政 visa 金融卡 全 國 加油站 週五 降 18 元
c_chat,閒聊 地下城 遇到 麵包 超人 會 是 什麼 感覺
tech_job,新聞 拒 混入 fb 峰會 竊 密 竟 炒  前 華為 員工 求償 3
stock,新聞 貨櫃 船運 現貨價 低於 長約價 是 短期 現象 顏
baseball,情報  wbc 墨西哥 目前 預計 先發 投手 排程
baseball,新聞 悍將 球員 打 12 強 林華韋 尊重 選手 意願 強
c_chat,討論 楓 m  是 不 是 超 吃 寵物 啊
boy-girl,公開 道歉 本人 文章 內容 謬誤
c_chat,劇場版 後編 第五 週 入場 者 特典
c_chat,閒聊 擅長 逃跑 殿下 算 奇幻 作品 嗎
baseball,分享 今日 陳文杰
lifeismoney,情報 台北 京站 台隆 gatsby 髮醬 買 一 送 一
c_chat,活俠 小 更新
stock,新聞 達成 和解 股 作價 大立光 換得 先進光 15
baseball,分享 陳冠宇 單 局 3k
c_chat,閒聊 電影院 看 義妹 生活
pc_shopping,心得 多 張  sandisk 記憶卡 效能 測試
military,討論 新任 國防部長 lloyd  austin 國會 豁免
hatepolitics,轉錄 林俊憲  threads
c_chat,ｏ 榜 上 週 漫畫 銷量  轉史 間諜 獵人 黃泉 能幹 貓
military,分享 有關 韓國 雙 12 政變 書單
stock,新聞 比亞迪 淨利 驟 降 近 30  股民 吵翻天
stock,標的  3443  創意
baseball,新聞 張育成 跑過 泰源 好漢坡 王政順 跑到 想
hatepolitics,討論 又 一 個 武統 支配 孬 了
stock,情報  0310 上市 外資 買賣超 排行
tech_job,請益 同泰 電子 研發 替代役
boy-girl,討論 沒有 什麼 大是 大非 問題
pc_shopping,情報 技嘉 brix 指定 小 主機 限量 甜蜜 價
tech_job,徵才 美商 捷聯 科技 徵 初階 業務
baseball,分享  2025  top  100  players  in  mlb 4021
tech_job,新聞  ai 大數據 成為 奧運 選手 成績 提升 關鍵
military,新聞 義務役 進 戰鬥 部隊 邱國正 會 徵求 個人 意願
baseball,分享 林書逸 滿壘 安打數 追平 富邦
stock,新聞 高雄 楠梓 晚間 突然 停電 道路 一 片 漆黑 約 409
hatepolitics,轉錄 名為 變態 神父 不 是 找 工作 是 找 活路
hatepolitics,討論 有 藍白 貼 台積電 空單 嗎
military,提問 勞瑞 130 飛艇
tech_job,請益 內湖 科學園區 哪裡 有 較多 吃
c_chat,韓漫 漫畫 本身 不錯 名字 取 太 爛
stock,新聞 自己 股票 自己 救 陸股 今年 已 有 638 家 上
lifeismoney,情報 各 大 3c 賣場 特賣 資訊 412 418
lifeismoney,新聞 台灣 中油 邀 您 種下 藝 苗 環保 贈 樹苗 活
